rotation,method,ip_err
rht,direct-m512-o8,164.574951
rht,direct-m512-o8,422.057861
rht,direct-m512-o8,215.016296
rht,direct-m512-o8,167.97168
rht,direct-m512-o8,330.793091
rht,direct-m512-o8,368.976929
rht,direct-m512-o8,247.584229
rht,direct-m512-o8,257.938354
rht,direct-m512-o8,477.326477
rht,direct-m512-o8,421.721924
rht,direct-m512-o8,222.728088
rht,direct-m512-o8,334.328735
rht,direct-m512-o8,392.57251
rht,direct-m512-o8,346.045654
rht,direct-m512-o8,447.91449
rht,direct-m512-o8,472.792725
rht,direct-m512-o8,323.131836
rht,direct-m512-o8,417.898315
rht,direct-m512-o8,367.654297
rht,direct-m512-o8,343.283325
rht,direct-m512-o8,383.974121
rht,direct-m512-o8,302.084106
rht,direct-m512-o8,314.866333
rht,direct-m512-o8,271.21106
rht,direct-m512-o8,330.52063
rht,direct-m512-o8,275.497803
rht,direct-m512-o8,376.396973
rht,direct-m512-o8,380.120361
rht,direct-m512-o8,296.544739
rht,direct-m512-o8,357.921021
rht,direct-m512-o8,399.772278
rht,direct-m512-o8,388.686279
rht,direct-m512-o8,274.721375
rht,direct-m512-o8,245.80249
rht,direct-m512-o8,252.532593
rht,direct-m512-o8,383.911987
rht,direct-m512-o8,362.690186
rht,direct-m512-o8,327.141235
rht,direct-m512-o8,361.551636
rht,direct-m512-o8,407.018005
rht,direct-m512-o8,205.923401
rht,direct-m512-o8,424.736816
rht,direct-m512-o8,392.233887
rht,direct-m512-o8,354.747681
rht,direct-m512-o8,385.355469
rht,direct-m512-o8,353.91333
rht,direct-m512-o8,246.497314
rht,direct-m512-o8,410.301086
rht,direct-m512-o8,259.274536
rht,direct-m512-o8,367.738403
rht,direct-m512-o8,351.775391
rht,direct-m512-o8,358.784119
rht,direct-m512-o8,270.254761
rht,direct-m512-o8,384.555664
rht,direct-m512-o8,418.376953
rht,direct-m512-o8,224.502319
rht,direct-m512-o8,256.389771
rht,direct-m512-o8,359.679565
rht,direct-m512-o8,269.81958
rht,direct-m512-o8,327.581177
rht,direct-m512-o8,339.186646
rht,direct-m512-o8,340.295776
rht,direct-m512-o8,225.68219
rht,direct-m512-o8,398.953979
rht,direct-m512-o8,158.98877
rht,direct-m512-o8,264.824341
rht,direct-m512-o8,362.880371
rht,direct-m512-o8,167.97168
rht,direct-m512-o8,383.595459
rht,direct-m512-o8,268.512329
rht,direct-m512-o8,292.579346
rht,direct-m512-o8,388.933838
rht,direct-m512-o8,330.490356
rht,direct-m512-o8,375.114014
rht,direct-m512-o8,428.720215
rht,direct-m512-o8,344.886475
rht,direct-m512-o8,410.63562
rht,direct-m512-o8,343.289062
rht,direct-m512-o8,404.030457
rht,direct-m512-o8,388.038574
rht,direct-m512-o8,345.446533
rht,direct-m512-o8,385.196777
rht,direct-m512-o8,365.279053
rht,direct-m512-o8,249.173828
rht,direct-m512-o8,414.958679
rht,direct-m512-o8,249.656738
rht,direct-m512-o8,378.728516
rht,direct-m512-o8,393.067871
rht,direct-m512-o8,323.421814
rht,direct-m512-o8,384.689331
rht,direct-m512-o8,329.542603
rht,direct-m512-o8,302.790283
rht,direct-m512-o8,341.731079
rht,direct-m512-o8,163.859497
rht,direct-m512-o8,387.098755
rht,direct-m512-o8,369.411011
rht,direct-m512-o8,359.01886
rht,direct-m512-o8,395.517334
rht,direct-m512-o8,391.134033
rht,direct-m512-o8,332.790039
rht,direct-m512-o8,370.274658
rht,direct-m512-o8,417.212891
rht,direct-m512-o8,500.899475
rht,direct-m512-o8,414.912231
rht,direct-m512-o8,272.154419
rht,direct-m512-o8,357.65918
rht,direct-m512-o8,310.92981
rht,direct-m512-o8,388.69165
rht,direct-m512-o8,405.846069
rht,direct-m512-o8,258.195801
rht,direct-m512-o8,397.315796
rht,direct-m512-o8,292.563477
rht,direct-m512-o8,251.241333
rht,direct-m512-o8,471.853394
rht,direct-m512-o8,314.175781
rht,direct-m512-o8,325.193604
rht,direct-m512-o8,370.215698
rht,direct-m512-o8,233.022461
rht,direct-m512-o8,362.783203
rht,direct-m512-o8,403.232666
rht,direct-m512-o8,372.36145
rht,direct-m512-o8,374.46228
rht,direct-m512-o8,367.738403
rht,direct-m512-o8,414.298645
rht,direct-m512-o8,423.346069
rht,direct-m512-o8,443.772949
rht,direct-m512-o8,346.741699
rht,direct-m512-o8,232.811768
rht,direct-m512-o8,351.028809
